code,country,prefix,city,latitude,longitude
AT42,AT,42,Neumarkt im Mühlkreis,48.42284362204724,14.521518897637797
AT43,AT,43,Mollnegg,48.258214242424245,14.715998484848484
AT44,AT,44,Dietach,48.090744642857146,14.427534523809523
AT45,AT,45,Grünburg,47.96140962566845,14.216886631016044
AT46,AT,46,Pennewang,48.11907494252874,13.87282643678161
AT47,AT,47,Raab,48.33972361652378,13.692176617303197
AT48,AT,48,Steindorf,47.95772777101096,13.548148233861147
AT49,AT,49,Mehrnbach,48.20192105263158,13.43806111111111
AT50,AT,50,Bayerisch Gmain,47.70891666666667,12.921033333333332
AT51,AT,51,Ibm,48.06566391129032,12.96804314516129
AT52,AT,52,Weinberg,48.10120569259962,13.177026375711575
AT53,AT,53,Fuschl am See,47.79327640449438,13.311424719101122
AT54,AT,54,Scheffau am Tennengebirge,47.60307052631579,13.212242105263158
AT55,AT,55,Brak danych,47.28802526315789,13.521232631578947
AT56,AT,56,Brak danych,47.27066239316239,13.061882051282051
AT57,AT,57,Saalbach-Hinterglemm,47.33693987341772,12.618637341772152
AT60,AT,60,Innsbruck,47.25090975609756,11.41790243902439
AT61,AT,61,Innsbruck,47.22459195402298,11.431281609195402
AT62,AT,62,Fügen,47.34608510638298,11.854352127659574
AT63,AT,63,Scheffau am Wilden Kaiser,47.54222474226804,12.22430206185567
AT64,AT,64,Oetz,47.20738735632184,10.940910344827586
AT65,AT,65,Kappl,47.07788181818182,10.51581590909091
AT66,AT,66,Forchach,47.40906585365854,10.589891463414634
AT67,AT,67,Raggal,47.183128205128206,9.905852564102563
AT68,AT,68,Viktorsberg,47.312237499999995,9.756073214285715
AT69,AT,69,Doren,47.48360588235295,9.844861764705882
AT70,AT,70,Eisenstadt,47.8130947368421,16.53207631578947
AT71,AT,71,Frauenkirchen,47.82177368421053,16.89798947368421
AT72,AT,72,Wiesen,47.74377692307692,16.352192307692306
AT73,AT,73,Stoob,47.5418909090909,16.488388636363638
AT74,AT,74,Goberling,47.353649,16.299465
AT75,AT,75,Deutsch Tschantschendorf,47.12065217391305,16.290998913043477
AT80,AT,80,Aschenbachberg,47.02322831858407,15.533709292035399
AT81,AT,81,St. Radegund,47.175873354231975,15.444765203761756
AT82,AT,82,Dienersdorf,47.23830695652174,15.909322028985507
AT83,AT,83,Feldbach,46.951914373088684,15.876268195718655
AT84,AT,84,Leitring,46.77732857142857,15.569383586626138
AT85,AT,85,Kothvogel,46.87471740331492,15.248904696132596
AT86,AT,86,Kindberg,47.532771129707115,15.450576987447699
AT87,AT,87,Gaal,47.28901214057508,14.752295846645367
AT88,AT,88,Murau,47.123470833333336,14.235153124999998
AT89,AT,89,Stainach-Pürgg,47.529477033492824,14.107132057416269
AT90,AT,90,Klagenfurt am Wörthersee,46.63519759036144,14.307316064257028
AT91,AT,91,Seelach,46.60607272727273,14.559421212121212
AT92,AT,92,Velden am Wörther See,46.6208452631579,14.032714736842104
AT93,AT,93,Mölbling,46.85931722772277,14.36474
AT94,AT,94,Wolfsberg,46.803399999999996,14.850628417266186
AT95,AT,95,Stiegl,46.713157545605306,14.009171807628524
AT96,AT,96,Hermagor-Pressegger See,46.6371164556962,13.257492405063292
AT97,AT,97,Steinfeld im Drautal,46.74010880829016,13.37639792746114
AT98,AT,98,Mühldorf,46.90226366559485,13.352346623794213
AT99,AT,99,Schlaiten,46.87200662251656,12.587711920529802
CH10,CH,10,Épalinges,46.565347321428575,6.663129464285714
CH11,CH,11,Yens,46.52564788732394,6.402504225352113
CH12,CH,12,Genthod,46.263784328358206,6.150588805970149
CH13,CH,13,Moiry,46.66717962962963,6.4591870370370374
CH14,CH,14,Cheseaux-Noréaz,46.79227216494846,6.686085567010309
CH15,CH,15,Fétigny,46.804832352941176,6.912794117647059
CH16,CH,16,Vaulruz,46.61393379310345,6.969838620689655
CH17,CH,17,Villars-sur-Glâne,46.80179454545455,7.115664545454546
CH18,CH,18,Yvorne,46.34774302325581,6.944695348837209
CH19,CH,19,Isérables,46.158459006211174,7.272419875776397
CH20,CH,20,Neuchâtel,47.00266,6.90262
CH21,CH,21,Val-de-Travers,46.9203625,6.61684375
CH22,CH,22,Val-de-Ruz,47.02303333333333,6.8538
